Name,Confirmed,Confirmed Per Million,Confirmed Changes Today,Confirmed Percentage Day Change,Critical,Deceased,Deceased Per Million,Deceased Changes Today,Death Percentage Day Change,Tests,Active,Recovered,Recovered Per Million,Population
TOTAL,"73,252,453","9,399","70,962",0.1%,"106,452","1,629,437",209,"1,943",0.12%,"1,112,227,817","20,556,383","50,914,857","6,533","7,793,690,262"
Afghanistan,"49,703","1,264",219,0.44%,93,"2,001",51,26,1.32%,"170,855","9,202","38,500",979,"39,321,605"
Albania,"49,191","17,102",0,0%,39,"1,016",353,0,0%,"219,385","23,355","24,820","8,629","2,876,358"
Algeria,"92,597","2,095",0,0%,46,"2,609",59,0,0%,NA,NA,"60,888","1,377","44,207,699"
Andorra,"7,382",NA,0,0%,17,79,NA,0,0%,"173,151",597,"6,706",NA,"77,321"
Angola,"16,277",488,0,0%,14,372,11,0,0%,"171,247","6,981","8,924",268,"33,321,141"
Antigua and Barbuda,148,NA,0,0%,2,5,NA,0,0%,"5,188",5,138,NA,"98,297"
Argentina,"1,503,222","33,122",0,0%,"3,478","41,041",904,0,0%,"4,302,194","122,061","1,340,120","29,528","45,384,048"
Armenia,"149,120","50,280",438,0.29%,NA,"2,529",853,26,1.04%,"551,637","19,139","127,452","42,974","2,965,773"
Austria,"325,051","35,998",0,0%,594,"4,530",502,0,0%,"3,425,072","36,347","284,174","31,471","9,029,795"
Azerbaijan,"178,986","17,581",0,0%,NA,"1,966",193,0,0%,"1,963,348","62,179","114,841","11,280","10,180,671"
The Bahamas,"7,674",NA,0,0%,1,163,NA,0,0%,"46,513","1,441","6,070",NA,"394,949"
Bahrain,"89,268","51,666",0,0%,8,348,201,0,0%,"2,202,876","1,588","87,332","50,545","1,727,797"
Bangladesh,"492,332","2,976",0,0%,NA,"7,089",43,0,0%,"2,986,458","61,398","423,845","2,562","165,433,737"
Barbados,296,NA,0,0%,1,7,NA,0,0%,"54,434",17,272,NA,"287,536"
Belarus,"162,148","17,162",0,0%,NA,"1,273",135,0,0%,"3,625,620","21,090","139,785","14,795","9,447,901"
Belize,"9,377",NA,0,0%,3,197,NA,0,0%,"49,914","4,766","4,414",NA,"400,879"
Benin,"3,090",252,0,0%,NA,44,4,0,0%,"360,194",74,"2,972",242,"12,265,145"
Bhutan,438,NA,0,0%,NA,NA,NA,0,0%,"218,118",NA,404,NA,"775,459"
Bolivia,"147,345","12,545",195,0.13%,71,"9,024",768,6,0.07%,"378,770","11,882","126,439","10,765","11,745,026"
Bosnia and Herzegovina,"101,461","31,014",0,0%,NA,"3,391","1,037",0,0%,"466,426","31,584","66,486","20,323","3,271,440"
Botswana,"12,873","5,425",0,0%,1,38,16,0,0%,"489,264","2,379","10,456","4,406","2,372,972"
Brunei,152,NA,0,0%,NA,3,NA,0,0%,"77,829",2,147,NA,"439,380"
Bulgaria,"181,544","26,218",0,0%,580,"5,838",843,0,0%,"1,069,756","90,128","85,578","12,359","6,924,382"
Burkina Faso,"4,209",199,0,0%,NA,71,3,0,0%,NA,NA,"2,940",139,"21,159,198"
Myanmar,"109,512","2,007",0,0%,NA,"2,292",42,0,0%,"1,456,866","19,089","88,131","1,615","54,575,734"
Burundi,729,61,0,0%,NA,1,NA,0,0%,"70,060",88,640,53,"12,048,550"
Cape Verde,"11,361",NA,0,0%,23,110,NA,0,0%,"107,404",215,"11,036",NA,"558,724"
Cambodia,362,22,3,0.84%,NA,NA,NA,0,0%,"258,400",NA,312,19,"16,823,580"
Cameroon,"25,214",939,0,0%,50,443,17,0,0%,"149,000",920,"23,851",889,"26,841,610"
Central African Republic,"4,936","1,014",0,0%,2,63,13,0,0%,"32,711","2,949","1,924",395,"4,867,613"
Chad,"1,771",106,0,0%,NA,102,6,0,0%,NA,NA,"1,608",97,"16,636,059"
Hong Kong,"7,722","1,026",98,1.29%,50,122,16,2,1.67%,"4,656,410","1,255","6,345",843,"7,524,618"
Macao,46,NA,0,0%,NA,NA,NA,0,0%,"4,238",NA,46,NA,"653,338"
Comoros,628,NA,0,0%,NA,7,NA,0,0%,NA,NA,606,NA,"877,920"
Congo,"6,200","1,111",0,0%,NA,100,18,0,0%,NA,NA,"4,988",894,"5,578,892"
DR Congo,"14,513",160,0,0%,NA,356,4,0,0%,NA,NA,"12,653",139,"90,773,673"
Costa Rica,"153,169","29,944",0,0%,232,"1,936",378,0,0%,"440,279","32,722","118,511","23,168","5,115,236"
