Name,Confirmed rate,Deceased rate,Recovered rate,Increase rate,Judgement Value
Singapore,0.00993672049220158,0.0004970775269536004,0.9977545808265199,0.00013849521085429077,0.9966722965851913
Ivory Coast,0.0008138156005957258,0.006127620363971435,0.98217000691085,0.0012424334417201956,0.9924228970476566
Gabon,0.004157352525354915,0.006737247353224254,0.9842797561758101,0.0010555784894214096,0.9920650777420238
Ghana,0.001690264013601948,0.0061681819896631076,0.9763647338438903,0.0018435236885315524,0.9903598709995879
Djibouti,0.005764752255422869,0.010640153497296355,0.9806384092098378,0.0006763889849254629,0.9894568303021679
Equatorial Guinea,0.003642538100878284,0.01639344262295082,0.9755062680810029,0.0004426791234999608,0.986756811243671
Uzbekistan,0.002233440397929435,0.008133863186294707,0.9638627875759227,0.002070077605797973,0.9858498055765365
Comoros,0.000715327136868963,0.011146496815286623,0.964968152866242,0.0019723970727760745,0.985671805470153
Madagascar,0.0006278966629257778,0.014726786831182124,0.9661681924148519,0.001011358862892274,0.9851237436799357
Iceland,0.016257074486268848,0.0050323508267433505,0.9690869877785766,0.002248627215862993,0.9848148283816032
Saudi Arabia,0.010268885331355693,0.016829947807440286,0.9743870360236991,0.0005285277013089028,0.9846206259768424
New Zealand,0.00041902400991583534,0.011927480916030535,0.961354961832061,0.0012741693327644641,0.9845323628724155
Brunei,0.00034594200919477446,0.019736842105263157,0.9671052631578947,0.00047303689687795653,0.9840530852789591
Benin,0.0002519334259806957,0.01423948220064725,0.9618122977346278,0.0017636451478382094,0.9839443145315231
Tajikistan,0.0013225389134835753,0.00690683619810062,0.9553410250372812,0.003140681541120777,0.9837285196922152
Suriname,0.009098178496788728,0.021832431423773092,0.9753685389065124,0.000629632716974398,0.9836918427130784
Cape Verde,0.02033383208883098,0.009682246281137223,0.9713933632602764,0.003884858972297113,0.9828471482256893
Venezuela,0.0038073515671640055,0.008878612716763006,0.952943352601156,0.003897992534922677,0.9816828851932886
Qatar,0.05026025667736898,0.0017077543384754926,0.9829791455559413,0.0011687237993340677,0.9816410446259974
Turks and Caicos Islands,0.019741233249473737,0.007802340702210663,0.9635890767230169,0.001983723442976274,0.981503153977427
Guinea-Bissau,0.0012288545506837138,0.01800327332242226,0.9562193126022913,8.77860361678469e-05,0.9811444302408645
Guinea,0.001012421784078729,0.0059448614104183695,0.9447127888831092,0.00181918475008412,0.981104395083275
Kuwait,0.03406502102066897,0.0062274238813511875,0.9720585323218321,0.001887509178975743,0.9809499509001306
Nepal,0.008485518573502496,0.006884819694756945,0.9491622666944841,0.004695733640633831,0.9798574944104474
Bahrain,0.05166579175678624,0.0038983734372899583,0.9783124971994444,0.0018761441822733,0.9791263675621088
The Gambia,0.001545589369352949,0.03252247488101533,0.9643046007403491,0.0007608310018697557,0.9790341157651815
British Virgin Islands,0.002506348316459453,0.013157894736842105,0.9473684210526315,0.0049346076458752506,0.9788963796687407
India,0.007146725712307909,0.014510260781120934,0.9511562450821465,0.0032757538292230264,0.9787157507878472
South Sudan,0.00028489747467624904,0.01933873986275733,0.9491578290704928,0.0022029237528756024,0.9785440638307201
Zambia,0.0009843282711683094,0.02003056434887021,0.9501691955026744,0.0026883720994981155,0.9783922514634245
Reunion,0.009501034270076975,0.004921490508554019,0.9417623623154441,0.004156455676307192,0.9780535346231016
Maldives,0.024556103326884886,0.00358771208610509,0.9515658868375813,0.001994477028234864,0.9779552550394863
Cameroon,0.0009393624301969964,0.01756960418814944,0.9459427302292377,0.002220586171389162,0.9779440092790689
Gibraltar,0.03212016861604227,0.005545286506469501,0.9574861367837338,0.004229297158043272,0.9769178183554623
SÃ£o TomÃ© and PrÃ­ncipe,0.004570321868311379,0.016831683168316833,0.9425742574257425,0.0013588312539688134,0.9763763671220546
Aruba,0.047264262944855244,0.009098101265822785,0.9697389240506329,0.003050852307752164,0.9759185532530663
Senegal,0.0010120925163296282,0.020412924297212177,0.9424355534818617,0.004567049078751692,0.9756687082644997
Caribbean Netherlands,0.006645401382243487,0.017142857142857144,0.9428571428571428,0.005573344546103683,0.9752169336868094
Mauritius,0.0004109270451281181,0.019120458891013385,0.9349904397705545,0.002656571577627662,0.9742597767659361
Eswatini,0.005855293185039276,0.01904761904761905,0.9400732600732601,0.004393514908855215,0.9741848417751042
Thailand,6.0761365960154795e-05,0.01413094677343382,0.9300518134715026,0.004129618494729389,0.9741416268937212
Philippines,0.004098654312404089,0.0195025219159922,0.9270271047873246,0.003060344770909184,0.9707736595676623
Oman,0.024535483406276887,0.011639927714076027,0.9351794127163251,0.0017255224656953976,0.970669146279251
Chile,0.029901414385934542,0.027762577766934457,0.9524388756251851,0.0028087712296441703,0.9695062200765447
Israel,0.039172979008631606,0.008337565952533604,0.9398968073561534,0.00470813706447364,0.968968307109257
Antigua and Barbuda,0.0015056410673774377,0.033783783783783786,0.9324324324324325,0.003479830762116516,0.9686962097134326
Barbados,0.0010294363140615436,0.02364864864864865,0.918918918918919,0.005018791349094608,0.9675709033002015
China,6.027691715140541e-05,0.05341294174600613,0.9429908481062265,0.00017807292169372656,0.9668315917405244
Nigeria,0.00035203772479516353,0.01631368059530624,0.9037806307411345,0.005920429742815884,0.9652640111511273
Cayman Islands,0.004510231262864753,0.006711409395973154,0.8959731543624161,0.0060749566299832065,0.9647397221797192
Australia,0.001094175303205698,0.03237307472903594,0.9158941814033086,0.0003472545353919829,0.9647306999961716
Kyrgyzstan,0.011853493197515923,0.016891284815813118,0.9096008214606597,0.004486150276657945,0.9641765651525763
Monaco,0.017043867001955853,0.004470938897168405,0.9016393442622951,0.006961696013036188,0.9638453004570936
Rwanda,0.0005151981546636009,0.008299985178597896,0.8886912701941604,0.009224665185669615,0.9626048861881523
Trinidad and Tobago,0.004912397364072502,0.01786492374727669,0.8976034858387799,0.002279798395003352,0.9623514995271825
Burundi,6.050520602064149e-05,0.0013717421124828531,0.877914951989026,0.004163711937877918,0.962323279870776
Cuba,0.0008382602761066149,0.014433206911083017,0.8938053097345132,0.009772847534695492,0.962136138647798
Malawi,0.00031367892827434163,0.030807248764415155,0.9046128500823724,0.0004962508738571208,0.9619888230322399
El Salvador,0.006480735455492705,0.028766733124465965,0.9080983575429602,0.00530721400530599,0.9613832213608792
Guatemala,0.0071633868313584126,0.03434952281596538,0.913542753371199,0.004189154409713168,0.9613387492972735
Mozambique,0.0005372525658376129,0.008410775202917303,0.8826020468180215,0.005705957937426182,0.9612671746524579
Peru,0.029721061808614904,0.037270948049445814,0.9332501799965521,0.0016519227158975375,0.9611157157245935
Colombia,0.028056915492906783,0.027322804346553122,0.9211950232691724,0.006134611558960808,0.9602272450697149
Namibia,0.006529436335458282,0.009745306708119097,0.8870620590697118,0.010897717479842995,0.9599280090026368
Morocco,0.01080139916474059,0.01661319375489614,0.8958126468841842,0.008443078173582225,0.9597930244215639
Vietnam,1.4344731293255388e-05,0.024964336661911554,0.8887303851640513,0.002867854995903865,0.9586960501184331
United Arab Emirates,0.018707902668747813,0.003321848409759139,0.8834020457856064,0.0069624309274903895,0.9583027189064436
Isle of Man,0.004375982542997254,0.06702412868632708,0.9222520107238605,0.0007727239434556509,0.9553584603839925
Iraq,0.014176936871707794,0.021881272006278082,0.8845464710090074,0.002972126203039739,0.9548095065524358
Chad,0.00010645550126986205,0.05759457933370977,0.9079616036137775,0.003438316702821621,0.9545677459032796
Pakistan,0.0019892395641845327,0.020090423827851804,0.8715995181005581,0.00727369854111294,0.9538643636095987
Saint Lucia,0.001510795667603215,0.014388489208633094,0.8633093525179856,0.005086019421758426,0.9535356571626412
Montserrat,0.0026036451031444022,0.07692307692307693,0.9230769230769231,0.0,0.9531952425703678
DR Congo,0.00015988115849404925,0.024529731964445668,0.8718390408599187,0.00918909855011313,0.9527744575965014
Bangladesh,0.002976007245728844,0.01439882030824728,0.8608926496754222,0.0041040868926957895,0.9525885339648159
South Africa,0.014520845641130927,0.027075705987690026,0.8806399061569493,0.006595043781400636,0.9514497920732848
Haiti,0.0008362502809523589,0.024405506883604506,0.8635794743429287,0.00223093457763352,0.951208487480914
Argentina,0.03312225476229005,0.027302021923574827,0.891498394781343,0.0038485681154667275,0.9504010629494379
Belarus,0.017162330553633025,0.007850852307768212,0.8620827885635346,0.011518832987699786,0.9502511732901666
Togo,0.0003904044188138113,0.02020820575627679,0.853949785670545,0.006714722730941897,0.9490176644599357
Sint Maarten,0.028981135577882452,0.020816653322658127,0.8799039231385108,0.01120357799202275,0.9488003603514817
Austria,0.03599760570422695,0.01393627461536805,0.8742443493482561,0.010125819197134312,0.9475741481142395
Norway,0.007597453693194403,0.009507911162723181,0.8414864276382639,0.009621619557350409,0.9462509485857611
Guyana,0.00753918970519396,0.02624936900555275,0.8542823489819956,0.006795492486554027,0.9455057726936513
Japan,0.0014224426361386306,0.014388849615647943,0.8402141906898298,0.01460419558728428,0.9452013623251273
Malaysia,0.0026063428011983045,0.0049383589090823375,0.8320604389128539,0.018557569897745384,0.94470140281617
Andorra,0.09547212270922519,0.010701706854510972,0.9084259008398808,0.006467547438663104,0.9444790954025051
Papua New Guinea,8.03475535943118e-05,0.011034482758620689,0.8289655172413793,0.007268335838483187,0.9442689730806565
Kazakhstan,0.00990337010159006,0.013660676080445015,0.8488714163457424,0.027827246501847345,0.9439132925789145
Moldova,0.031579036183386866,0.020416021626209205,0.8658263459407637,0.012245020418536095,0.9438915851857392
Brazil,0.03249482317538246,0.026256928981966573,0.8681959745773413,0.006413723170222154,0.9434959494092334
Taiwan,3.1128778161056104e-05,0.009433962264150943,0.8234501347708895,0.006388890094762856,0.9432387360432669
Zimbabwe,0.000759189836561628,0.027205493924986793,0.8411692199330868,0.008912665465140577,0.9426624205235185
Liechtenstein,0.04101838755304102,0.01277139208173691,0.8627075351213283,0.015143805032710388,0.9424546752687105
Jordan,0.025609793340616582,0.012980184930489148,0.8482800397749136,0.012914858788950795,0.9422502792998305
Czechia,0.054697517413373975,0.01661916141720867,0.8730014959462755,0.008150436248542678,0.9420177555680951
Saint Martin,0.020557965249082464,0.0149812734082397,0.8426966292134831,0.008368200836820083,0.9419198853037793
French Guiana,0.03923625820800678,0.005989034162800506,0.8431041754533952,0.004044993246667391,0.9407187288481766
Egypt,0.0011829680888917294,0.05686974755500221,0.8611306783742607,0.0037142652980246787,0.9404253974288509
Ecuador,0.011381421273699144,0.06862696606983876,0.8801612424572164,0.0034431527330344,0.9400984546878334
Turkey,0.02202164076984705,0.008919036941187187,0.8744063932445502,0.09526250851948846,0.9398514204206239
Botswana,0.005424842771006148,0.002951914860560864,0.8122426784743261,0.013260686496026198,0.939441915416974
