1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15 rate,14 rate,13 rate,12 rate,11 rate,10 rate,9 rate,8 rate,7 rate,6 rate,5 rate,4 rate,3 rate,2 rate,Name,Sum,Rate Sum
46498,482,276,132,253,260,232,230,177,213,73,126,321,0,430,0.008726888965559232,0.0,0.006557444026801765,0.002580592307377217,0.0014973437532049309,0.004388133498145859,0.003659822591650642,0.0047784264433964226,0.00484332268637398,0.005457484099829979,0.005338904363974002,0.002793296089385475,0.005874840357598978,0.010366037248913931,Afghanistan,3205.0,0.004775895459443743
38182,832,705,782,801,846,840,695,753,752,873,1681,0,788,661,0.013620440964351947,0.01650538310083365,0.0,0.03649508260784612,0.01931928830663008,0.016923215410928075,0.017237827072316463,0.0161673025030241,0.01992977128214862,0.02048326957532323,0.01977728944964322,0.01968831038042247,0.018070436253652535,0.021790372426797967,Albania,11009.0,0.018286284952422745
83199,953,932,843,803,772,750,573,591,598,565,542,517,464,495,0.005374476124296975,0.005063401645605535,0.005673774431799475,0.005983726912418994,0.0062768013864509965,0.006687841102263577,0.006653532226287644,0.006492770702080406,0.008571232657539255,0.008901187593681541,0.009345141806417075,0.009907855766066476,0.011075197262097158,0.011454464596930251,Algeria,9398.0,0.007675814586709669
6745,45,52,62,51,50,45,34,43,35,28,46,52,50,44,0.005996184246388662,0.006860592755214051,0.007186290768380321,0.006397774687065368,0.003909522479754258,0.004910902202890417,0.006070016939582157,0.004822695035460993,0.006423982869379015,0.007189072609633357,0.00738702201622248,0.009061677871967261,0.007658321060382916,0.006671608598962194,Andorra,637.0,0.006467547438663104
15139,112,68,42,132,43,55,57,81,75,121,136,100,27,89,0.005497899678774401,0.001670688695006497,0.00622626237469647,0.008540031397174254,0.007656289546950139,0.004768262445164982,0.005176380368098159,0.0036559553588608813,0.003540164778578785,0.002775446976053702,0.008593190547490397,0.0027416933220184084,0.004458724018097174,0.007398110839553471,Angola,1138.0,0.005192792881894123
141,1,2,0,0,0,2,0,0,0,0,1,1,0,0,0.0,0.0,0.006802721088435374,0.00684931506849315,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.014084507042253521,0.0070921985815602835,Antigua and Barbuda,7.0,0.003479830762116516
1424533,8037,7533,7629,6899,5201,3278,3199,3610,5303,6994,7112,5274,3558,5062,0.003378811341912746,0.002380566866630715,0.0035411944178851133,0.0047982210420073725,0.004740981357382143,0.003607681783826184,0.0024619640198621164,0.00218643847694295,0.002245463861595033,0.003575477217246161,0.004765384753531731,0.005297537745564033,0.005258381789371549,0.005641848942776334,Argentina,78689.0,0.003848568115466727
135967,1264,1277,1184,1267,978,407,584,1138,1174,1077,995,1013,357,438,0.0029458845051855637,0.0024068767908309455,0.006876561312045183,0.006800303450726846,0.007415312586064445,0.008149042799827857,0.007962050822791895,0.0041027370314168496,0.0028674693702135452,0.006938187699969495,0.00906995389857687,0.008548242700782626,0.009305477625317894,0.009296373384718351,Armenia,13153.0,0.006620319569890598
282456,7005,0,7784,0,3444,5004,0,5309,2686,0,6134,2641,2588,0,0.0,0.008025726982630566,0.008257718355835433,0.019554461758180104,0.0,0.008636600407714419,0.0173670970548884,0.0,0.01664177938002388,0.011586401789769381,0.0,0.02689136014869015,0.0,0.024800322882148017,Austria,42595.0,0.010125819197134312
121176,8368,0,8456,0,4323,4356,3086,8790,4219,0,8649,4451,0,3112,0.017694485825079317,0.0,0.025965010529508874,0.05313502156364038,0.0,0.026609063101132098,0.05869195072279905,0.021039139890509206,0.030606437469699207,0.03132608695652174,0.0,0.06527511887852776,0.0,0.06905657886050043,Azerbaijan,57810.0,0.028528492414137
