Name,Confirmed,Population,Confirmed rate
Andorra,7382,77321.0,0.09547212270922519
Montenegro,41803,628102.0,0.06655447682064378
Luxembourg,41900,630572.0,0.06644760630031146
San Marino,1934,33964.0,0.05694264515369214
French Polynesia,15747,281647.0,0.0559104126797019
Czechia,586251,10718055.0,0.054697517413373975
Belgium,609211,11612613.0,0.05246114720261495
Bahrain,89268,1727797.0,0.05166579175678624
United States,16942980,331886264.0,0.05105056110427035
Armenia,149120,2965773.0,0.05028031477796851
